"According to the teachings of Islam, what is the consequence of injustice (Zulm) in the Hereafter?",It becomes a source of ruin and severe distress.
What is the recommended conduct regarding initiating 'Salam' (Islamic greeting)?,One should strive to be the first to offer it to others.
How is the nature of the 'Dunya' (this world) described in the context of a believer's life?,It is characterized as a place of testing and trial (Imtihan-gah).
Which physical tool is highlighted for its spiritual importance and excellence in personal hygiene?,The Miswak.
"According to the Hadith regarding charity, why is the 'upper hand' (the giver) considered superior?",Because giving is better than receiving.
How is backbiting (Gheebat) categorized in terms of its spiritual weight as a sin?,It is described as a grievous or 'heavy' sin.
What is the relationship between physical/spiritual purity (Taharat) and Faith (Iman)?,Purity is considered a fundamental part or 'half' of Faith.
"In the hierarchy of Islamic sources, what is the status and importance of the Holy Quran?",It holds the highest station of guidance and divine authority.
What specific object is metaphorically referred to as the 'flute of Satan'?,The bell (used in non-Islamic rituals or for vanity).
What are the two essential spiritual responses a believer must have toward life's circumstances?,Patience (Sabr) and Gratitude (Shukr).
What is the primary 'secret' to maintaining a sustainable and balanced livelihood (Ma'ishat)?,Moderation (I'tidal).
What is the proper Islamic motivation for forming bonds of love and friendship with others?,To love them solely for the sake of Allah.
"In the pursuit of knowledge, what proportion of learning is attributed to asking a 'good question'?",One half of knowledge.
What are the spiritual 'effects' or fruits of sincere Repentance (Tawbah)?,The cleansing of sins and the restoration of a close relationship with Allah.
"According to Islamic ethical definitions, who is a truly 'intelligent' person?",The one who subordinates their desires to Allah's will and prepares for the Afterlife.
"A true believer is described as being a symbol of 'Alfat', which translates to _____.",Affection or familiarity.
What is the relationship between persistent sinning and the state of Hypocrisy (Nifaq)?,"Persistent, unrepentant sinning can eventually lead a heart toward hypocrisy."
What is an identified sign of the 'Last Days' regarding the presence of righteous people in society?,Good and pious people will pass away or be removed one by one.
What social shift in leadership is predicted for the 'Last Days' regarding 'mean' or unworthy people?,Unworthy and base individuals will rise to positions of honor and authority.
Metaphor: Practicing religion during times of severe societal trial is like holding a _____.,Burning coal.
What is identified as a primary cause for the dominance of non-believers over Muslims in later times?,The loss of religious commitment and the internal decline of Muslim character.
What warning is given to those who misuse their 'tongues' for the purpose of earning a living?,It leads to the consumption of forbidden (Haram) or questionable wealth.
Who is the sole and ultimate owner of all profit and loss in human affairs?,Allah.
What is the requirement for a believer regarding the treatment of animals?,To observe and fulfill their rights with kindness and justice.
What is the status of 'Knowledge' (Ilm) in Hadith?,It is held in the highest regard as a path to excellence and divine pleasure.
"When dealing with servants or slaves, what are the two recommended paths for a master?",Justice (Adl) and Forgiveness (Afw).
What is the 'golden rule' or general principle for dealing with all matters within the Religion?,Moderation (I'tidal).
Why is there a strong emphasis on avoiding 'Bid'ah' (innovations) in faith?,"Because innovations distort the original, pure teachings of Islam."
Under what condition is the expression of a reality or truth considered unnecessary or unhelpful?,"When it causes undue harm, fitna (discord), or serves no constructive purpose."
The Arabic term 'Niyyat' refers to the internal _____ that precedes an action.,Intention
What does the term 'Ikhlas' mean in the context of performing religious deeds?,Sincerity; performing actions solely for the pleasure of Allah without ostentation.
What is the spiritual danger of Satan's 'Jaal' (Net/Web)?,It entangles the believer in worldly desires and forgetfulness of the Hereafter.
How does 'Patience' (Sabr) act as a shield for a believer?,It prevents the believer from acting out of anger or despair during hardships.
Why is 'Gratitude' (Shukr) considered a catalyst for increase?,Because Allah has promised to increase blessings for those who are grateful.
What determines the value of a person's actions according to the foundational theme of Unit 1?,Their Intention (Niyyat).
A believer's 'Affection' (Alfat) should make them _____ to interact with in a community.,Easy and approachable.
What does the rise of 'mean' people to honor suggest about the societal values of that time?,A reversal of true merit where worldly power is prioritized over spiritual character.
Why is the Miswak specifically mentioned as having 'excellence' beyond mere cleaning?,Because it is a Sunnah that carries high spiritual reward and pleases Allah.
Statement: 'A good question is _____ of knowledge.',half
"In the context of the decline of Muslims, what does 'low status' (pasti) refer to?","A loss of dignity, influence, and spiritual strength on the global stage."
